[ 3529.747497] [pid: 2615], CPUburst : 887749, rt_priority:10
[ 3529.845844] [pid: 2616], CPUburst : 98368702, rt_priority:10
[ 3529.945922] [pid: 2617], CPUburst : 100052382, rt_priority:10
[ 3530.045676] [pid: 2616], CPUburst : 99780461, rt_priority:10
[ 3530.145692] [pid: 2617], CPUburst : 100015315, rt_priority:10
[ 3530.245680] [pid: 2616], CPUburst : 99983050, rt_priority:10
[ 3530.346097] [pid: 2617], CPUburst : 100411626, rt_priority:10
[ 3530.446032] [pid: 2616], CPUburst : 99945652, rt_priority:10
[ 3530.546361] [pid: 2617], CPUburst : 100328822, rt_priority:10
[ 3530.645814] [pid: 2616], CPUburst : 99452593, rt_priority:10
[ 3530.745813] [pid: 2617], CPUburst : 99999376, rt_priority:10
[ 3530.846457] [pid: 2616], CPUburst : 100644313, rt_priority:10
[ 3530.945797] [pid: 2617], CPUburst : 99340065, rt_priority:10
[ 3531.045548] [pid: 2616], CPUburst : 99749842, rt_priority:10
[ 3531.158080] [pid: 2617], CPUburst : 112533050, rt_priority:10
[ 3531.258447] [pid: 2616], CPUburst : 100367406, rt_priority:10
[ 3531.357629] [pid: 2617], CPUburst : 99163888, rt_priority:10
[ 3531.457593] [pid: 2616], CPUburst : 99980538, rt_priority:10
[ 3531.557679] [pid: 2617], CPUburst : 100086766, rt_priority:10
[ 3531.657614] [pid: 2616], CPUburst : 99917577, rt_priority:10
[ 3531.757694] [pid: 2617], CPUburst : 100098021, rt_priority:10
[ 3531.857839] [pid: 2616], CPUburst : 100144956, rt_priority:10
[ 3531.957814] [pid: 2617], CPUburst : 99974561, rt_priority:10
[ 3532.057711] [pid: 2616], CPUburst : 99896755, rt_priority:10
[ 3532.158080] [pid: 2617], CPUburst : 100369776, rt_priority:10
[ 3532.258273] [pid: 2616], CPUburst : 100190854, rt_priority:10
[ 3532.357837] [pid: 2617], CPUburst : 99564918, rt_priority:10
[ 3532.458407] [pid: 2616], CPUburst : 100569941, rt_priority:10
[ 3532.558036] [pid: 2617], CPUburst : 99629569, rt_priority:10
[ 3532.657578] [pid: 2616], CPUburst : 99524217, rt_priority:10
[ 3532.750372] [pid: 2617], CPUburst : 92787882, rt_priority:10
[ 3532.758102] [pid: 2617], CPUburst : 7724689, rt_priority:10
[ 3532.858311] [pid: 2616], CPUburst : 100207933, rt_priority:10
[ 3532.957580] [pid: 2617], CPUburst : 99269270, rt_priority:10
[ 3533.058309] [pid: 2616], CPUburst : 100728576, rt_priority:10
[ 3533.158203] [pid: 2617], CPUburst : 99894332, rt_priority:10
[ 3533.257580] [pid: 2616], CPUburst : 99377509, rt_priority:10
[ 3533.358153] [pid: 2617], CPUburst : 100573551, rt_priority:10
[ 3533.457980] [pid: 2616], CPUburst : 99826412, rt_priority:10
[ 3533.558450] [pid: 2617], CPUburst : 100469706, rt_priority:10
[ 3533.657944] [pid: 2616], CPUburst : 99466501, rt_priority:10
